BookingID,CustomerID,AgeGroup,Gender,State,City,Airline,Destination,BookingDate,FlightType,TicketPrice,Class,BookingChannel,FrequentFlyer,AffinityIndex
A00001,C00114,35-44,Male,Texas,San Antonio,United Airlines,"Seattle, WA",2024-09-30,Domestic,262.64,Premium Economy,Travel Agency,No,148
A00002,C00650,65+,Male,Texas,Dallas,Southwest Airlines,"Miami, FL",2024-11-03,Domestic,206.48,Economy,Travel Agency,Yes,105
A00003,C00033,35-44,Male,California,San Jose,Alaska Airlines,"Atlanta, GA",2024-08-06,Domestic,446.88,Premium Economy,Travel Agency,No,105
A00004,C00928,35-44,Male,Arizona,Flagstaff,Delta Airlines,"Seattle, WA",2024-07-14,Domestic,477.34,Premium Economy,Travel Agency,Yes,134
A00005,C00113,55-64,Male,California,San Jose,Delta Airlines,"Atlanta, GA",2024-10-20,Domestic,969.8,First,Travel Agency,No,138
A00006,C00046,18-24,Male,Florida,Tampa,American Airlines,"Mexico City, Mexico",2024-05-14,International,747.27,Premium Economy,Website,Yes,129
A00007,C00542,35-44,Female,Arizona,Phoenix,Alaska Airlines,"Vancouver, Canada",2024-10-01,International,612.77,Economy,Mobile App,Yes,140
A00008,C00569,55-64,Female,Illinois,Springfield,Southwest Airlines,"Chicago, IL",2024-11-08,Domestic,489.22,Premium Economy,Mobile App,No,148
A00009,C00352,25-34,Female,Illinois,Springfield,Delta Airlines,"Amsterdam, Netherlands",2024-10-01,International,1016.52,Premium Economy,Website,No,140
A00010,C00568,65+,Male,New York,Rochester,Southwest Airlines,"Miami, FL",2024-06-20,Domestic,989.34,First,Mobile App,Yes,164
A00011,C00608,55-64,Female,Oregon,Salem,American Airlines,"Atlanta, GA",2024-10-01,Domestic,508.88,Business,Website,No,152
A00012,C00739,35-44,Female,Oregon,Salem,United Airlines,"Seattle, WA",2024-07-06,Domestic,322.72,Premium Economy,Travel Agency,No,116
A00013,C00025,45-54,Female,Texas,Austin,United Airlines,"Frankfurt, Germany",2024-08-10,International,765.84,Economy,Website,Yes,137
A00014,C00107,55-64,Female,Illinois,Springfield,Alaska Airlines,"Seattle, WA",2024-10-25,Domestic,255.21,Premium Economy,Travel Agency,Yes,173
A00015,C00798,18-24,Female,California,San Francisco,American Airlines,"Tokyo, Japan",2024-10-24,International,595.8,Economy,Travel Agency,Yes,157
A00016,C00036,65+,Male,Oregon,Eugene,American Airlines,"Tokyo, Japan",2024-09-27,International,653.4,Economy,Website,No,182
A00017,C00569,55-64,Female,Illinois,Springfield,Alaska Airlines,"Vancouver, Canada",2024-10-04,International,806.71,Premium Economy,Travel Agency,No,128
A00018,C00494,65+,Male,Oregon,Portland,United Airlines,"Tokyo, Japan",2024-08-15,International,731.99,Economy,Website,Yes,164
A00019,C00761,45-54,Male,Oregon,Bend,Southwest Airlines,"Seattle, WA",2024-09-27,Domestic,751.7,First,Website,Yes,159
A00020,C00418,55-64,Male,California,San Jose,Delta Airlines,"Seattle, WA",2024-10-25,Domestic,332.11,Premium Economy,Travel Agency,Yes,175
A00021,C00600,65+,Female,Georgia,Savannah,Alaska Airlines,"Chicago, IL",2024-10-28,Domestic,267.12,Premium Economy,Travel Agency,Yes,138
A00022,C00007,18-24,Male,Georgia,Augusta,American Airlines,"Seattle, WA",2024-06-05,Domestic,1198.61,First,Website,Yes,176
A00023,C00030,18-24,Female,New York,Rochester,Delta Airlines,"Miami, FL",2024-06-08,Domestic,156.02,Economy,Mobile App,No,107
A00024,C00620,55-64,Male,New York,Buffalo,American Airlines,"Tokyo, Japan",2024-09-14,International,437.15,Economy,Website,Yes,100
A00025,C00943,65+,Male,New York,Albany,Alaska Airlines,"Toronto, Canada",2024-07-27,International,698.98,Economy,Travel Agency,No,143
A00026,C00115,35-44,Female,Texas,Dallas,Delta Airlines,"Miami, FL",2024-10-01,Domestic,673.01,Business,Website,No,121
A00027,C00145,65+,Female,California,Los Angeles,Southwest Airlines,"Belize City, Belize",2024-08-16,International,3060.93,First,Mobile App,No,128
A00028,C00786,25-34,Male,Arizona,Scottsdale,Alaska Airlines,"Toronto, Canada",2024-10-29,International,2073.17,Business,Travel Agency,Yes,143
A00029,C00888,35-44,Male,Arizona,Flagstaff,American Airlines,"London, UK",2024-08-02,International,1005.58,Premium Economy,Website,No,143
A00030,C00993,35-44,Male,Texas,Houston,Alaska Airlines,"Atlanta, GA",2024-07-07,Domestic,1337.11,First,Travel Agency,No,116
A00031,C00602,55-64,Male,Florida,Jacksonville,United Airlines,"Tokyo, Japan",2024-05-17,International,3594.49,First,Website,Yes,112
A00032,C00505,35-44,Female,Georgia,Columbus,Southwest Airlines,"Belize City, Belize",2024-10-02,International,1063.56,Premium Economy,Travel Agency,No,107
A00033,C00373,25-34,Female,Illinois,Naperville,American Airlines,"Mexico City, Mexico",2024-10-28,International,1609.62,Business,Travel Agency,Yes,181
A00034,C00890,65+,Male,California,Los Angeles,American Airlines,"Tokyo, Japan",2024-10-24,International,2392.22,Business,Website,No,165
A00035,C00336,18-24,Female,Illinois,Chicago,Delta Airlines,"Paris, France",2024-09-23,International,1087.4,Premium Economy,Mobile App,No,181
A00036,C00479,45-54,Female,Texas,Houston,Alaska Airlines,"Atlanta, GA",2024-05-24,Domestic,229.92,Economy,Travel Agency,Yes,200
A00037,C00792,55-64,Male,Florida,Orlando,United Airlines,"Frankfurt, Germany",2024-09-02,International,2431.51,Business,Mobile App,No,200
A00038,C00008,55-64,Female,Oregon,Portland,American Airlines,"Seattle, WA",2024-05-16,Domestic,758.57,Business,Website,Yes,143
A00039,C00174,25-34,Female,Illinois,Aurora,United Airlines,"Toronto, Canada",2024-07-12,International,3381.52,First,Website,Yes,141
A00040,C00383,45-54,Female,Illinois,Chicago,Southwest Airlines,"Chicago, IL",2024-09-07,Domestic,908.87,First,Mobile App,Yes,103
A00041,C00184,35-44,Female,Illinois,Naperville,American Airlines,"London, UK",2024-10-28,International,2441.48,First,Mobile App,No,100
A00042,C00510,65+,Male,Illinois,Chicago,American Airlines,"London, UK",2024-05-17,International,915.64,Premium Economy,Website,Yes,126
A00043,C00252,25-34,Female,Arizona,Phoenix,Alaska Airlines,"Vancouver, Canada",2024-09-22,International,574.15,Economy,Mobile App,Yes,173
A00044,C00629,18-24,Male,California,San Diego,Alaska Airlines,"Seattle, WA",2024-08-09,Domestic,234.06,Economy,Travel Agency,No,113
A00045,C00381,65+,Male,Florida,Miami,Alaska Airlines,"Seattle, WA",2024-07-08,Domestic,664.07,Business,Mobile App,Yes,122
A00046,C00210,55-64,Female,Georgia,Savannah,Southwest Airlines,"Liberia, Costa Rica",2024-07-19,International,2272.54,Business,Mobile App,No,185
A00047,C00596,25-34,Male,California,San Diego,Southwest Airlines,"Nassau, Bahamas",2024-09-04,International,1852.58,Business,Website,No,167
A00048,C00208,65+,Female,New York,New York City,American Airlines,"Chicago, IL",2024-07-21,Domestic,1140.29,First,Website,Yes,188
A00049,C00107,55-64,Female,Illinois,Springfield,United Airlines,"Atlanta, GA",2024-08-21,Domestic,140.63,Economy,Travel Agency,Yes,142
A00050,C00667,55-64,Female,Arizona,Scottsdale,United Airlines,"Miami, FL",2024-09-02,Domestic,591.99,Business,Mobile App,No,169
A00051,C00694,45-54,Female,Arizona,Tucson,American Airlines,"Seattle, WA",2024-06-12,Domestic,808.07,First,Travel Agency,Yes,180
A00052,C00537,55-64,Male,New York,Buffalo,Alaska Airlines,"Toronto, Canada",2024-06-28,International,795.5,Economy,Website,Yes,110
A00053,C00828,25-34,Male,Florida,Orlando,Delta Airlines,"Amsterdam, Netherlands",2024-10-03,International,1854.02,Business,Mobile App,Yes,196
A00054,C00731,65+,Female,Texas,Austin,United Airlines,"Seattle, WA",2024-10-06,Domestic,284.05,Premium Economy,Mobile App,Yes,188
A00055,C00322,25-34,Female,California,San Francisco,United Airlines,"Frankfurt, Germany",2024-10-11,International,676.33,Economy,Mobile App,No,133
A00056,C00825,35-44,Female,Arizona,Scottsdale,Alaska Airlines,"Atlanta, GA",2024-09-06,Domestic,781.37,Business,Travel Agency,Yes,134
A00057,C00433,18-24,Male,Georgia,Columbus,Alaska Airlines,"Vancouver, Canada",2024-08-20,International,4113.24,First,Website,Yes,178
A00058,C00011,35-44,Female,Texas,Dallas,United Airlines,"Chicago, IL",2024-08-20,Domestic,1171.74,First,Travel Agency,No,168
A00059,C00830,45-54,Female,Oregon,Salem,United Airlines,"Tokyo, Japan",2024-11-09,International,1844.02,Business,Travel Agency,Yes,144
A00060,C00452,65+,Male,Texas,Austin,United Airlines,"Toronto, Canada",2024-09-22,International,2633.67,First,Mobile App,Yes,135
A00061,C00277,45-54,Male,Florida,Orlando,United Airlines,"Seattle, WA",2024-05-17,Domestic,336.79,Premium Economy,Travel Agency,Yes,119
A00062,C00461,25-34,Female,Georgia,Columbus,Alaska Airlines,"Seattle, WA",2024-11-02,Domestic,569.33,Business,Website,No,150
A00063,C00527,18-24,Female,New York,Albany,Alaska Airlines,"Miami, FL",2024-05-23,Domestic,134.74,Economy,Website,Yes,159
A00064,C00735,65+,Male,Florida,Tampa,Southwest Airlines,"Havana, Cuba",2024-07-18,International,1040.41,Premium Economy,Travel Agency,Yes,132
A00065,C00269,55-64,Female,Oregon,Bend,American Airlines,"Miami, FL",2024-08-16,Domestic,741.47,First,Travel Agency,Yes,115
A00066,C00207,65+,Female,Texas,Dallas,American Airlines,"Miami, FL",2024-10-09,Domestic,420.57,Premium Economy,Travel Agency,Yes,185
A00067,C00910,55-64,Male,Oregon,Eugene,Alaska Airlines,"Seattle, WA",2024-08-17,Domestic,338.81,Premium Economy,Travel Agency,No,112
A00068,C00360,25-34,Female,Florida,Jacksonville,American Airlines,"Las Vegas, NV",2024-06-05,Domestic,258.42,Economy,Travel Agency,Yes,182
A00069,C00972,55-64,Male,California,San Jose,American Airlines,"Miami, FL",2024-06-25,Domestic,294.56,Economy,Website,Yes,120
A00070,C00037,35-44,Male,Illinois,Aurora,United Airlines,"Miami, FL",2024-08-14,Domestic,218.96,Economy,Website,Yes,117
A00071,C00491,18-24,Female,Oregon,Portland,Delta Airlines,"Miami, FL",2024-09-27,Domestic,332.66,Premium Economy,Travel Agency,Yes,195
A00072,C00969,18-24,Female,Illinois,Aurora,Southwest Airlines,"Belize City, Belize",2024-08-04,International,1161.32,Business,Mobile App,Yes,170
A00073,C00172,45-54,Male,Texas,Austin,American Airlines,"Seattle, WA",2024-05-17,Domestic,396.58,Premium Economy,Travel Agency,No,147
A00074,C00124,35-44,Male,Texas,Houston,Southwest Airlines,"Chicago, IL",2024-06-15,Domestic,244.28,Economy,Website,No,132
A00075,C00521,18-24,Female,New York,Albany,Delta Airlines,"Las Vegas, NV",2024-06-19,Domestic,203.04,Economy,Travel Agency,No,182
